thr,flagged,tp,fp,tn,fn,precision,recall,f1,missed,mae_onset,mae_recovery,skill_onset,skill_recovery,taskB,penalty_total,penalty_share_of_onset_err,mean3,score_20_80,score_30_70,score_40_60,score_50_50,score_60_40,score_70_30,score_80_20
0.52,0.18233333333333332,502,45,1905,548,0.9177330895795247,0.4780952380952381,0.6286787726988102,548,15.957818705980483,17.004975478993643,0.0,0.0,0.0,16440.0,0.9811580859278131,0.2095595908996034,0.12573575453976205,0.18860363180964307,0.2514715090795241,0.3143393863494051,0.37720726361928614,0.4400751408891671,0.5029430181590482
0.53,0.18,500,40,1910,550,0.9259259259259259,0.47619047619047616,0.6289308176100629,550,16.012817482711267,17.056696395191775,0.0,0.0,0.0,16500.0,0.9813566994847802,0.20964360587002095,0.12578616352201258,0.18867924528301885,0.25157232704402516,0.31446540880503143,0.3773584905660377,0.440251572327044,0.5031446540880503
0.54,0.17933333333333334,500,38,1912,550,0.929368029739777,0.47619047619047616,0.6297229219143576,550,16.012817482711267,17.056696395191775,0.0,0.0,0.0,16500.0,0.9813566994847802,0.2099076406381192,0.12594458438287154,0.18891687657430728,0.2518891687657431,0.3148614609571788,0.37783375314861456,0.4408060453400503,0.5037783375314862
0.55,0.17866666666666667,499,37,1913,551,0.9309701492537313,0.47523809523809524,0.6292559899117275,551,16.041120990845034,17.08025942372632,0.0,0.0,0.0,16530.0,0.9814062964702955,0.2097519966372425,0.1258511979823455,0.18877679697351823,0.251702395964691,0.31462799495586374,0.37755359394703647,0.4404791929382092,0.503404791929382
0.56,0.177,499,32,1918,551,0.9397363465160076,0.47523809523809524,0.6312460468058191,551,16.041120990845034,17.08025942372632,0.0,0.0,0.0,16530.0,0.9814062964702955,0.21041534893527303,0.12624920936116382,0.18937381404174572,0.25249841872232764,0.31562302340290954,0.37874762808349144,0.44187223276407334,0.5049968374446553
0.57,0.17566666666666667,497,30,1920,553,0.9430740037950665,0.47333333333333333,0.6303107165504122,553,16.097234882801146,17.133392204089883,0.0,0.0,0.0,16590.0,0.9815350347457052,0.21010357218347073,0.12606214331008245,0.18909321496512363,0.2521242866201649,0.3151553582752061,0.37818642993024726,0.4412175015852885,0.5042485732403298
0.58,0.175,495,30,1920,555,0.9428571428571428,0.4714285714285714,0.6285714285714287,555,16.15049277221891,17.18432589159468,0.0,0.0,0.0,16650.0,0.9818364727805299,0.20952380952380956,0.12571428571428575,0.18857142857142858,0.2514285714285715,0.31428571428571433,0.37714285714285717,0.44000000000000006,0.502857142857143
0.59,0.175,495,30,1920,555,0.9428571428571428,0.4714285714285714,0.6285714285714287,555,16.15049277221891,17.18432589159468,0.0,0.0,0.0,16650.0,0.9818364727805299,0.20952380952380956,0.12571428571428575,0.18857142857142858,0.2514285714285715,0.31428571428571433,0.37714285714285717,0.44000000000000006,0.502857142857143
0.6,0.17433333333333334,493,30,1920,557,0.9426386233269598,0.4695238095238095,0.6268277177368086,557,16.202207122944348,17.237637338478635,0.0,0.0,0.0,16710.0,0.9822294946315739,0.2089425725789362,0.1253655435473617,0.18804831532104258,0.2507310870947234,0.3134138588684043,0.37609663064208515,0.43877940241576596,0.5014621741894468
0.61,0.174,492,30,1920,558,0.9425287356321839,0.4685714285714286,0.6259541984732825,558,16.2298785598446,17.26232081055872,0.0,0.0,0.0,16740.0,0.9823152455559591,0.20865139949109415,0.1251908396946565,0.18778625954198475,0.250381679389313,0.31297709923664124,0.3755725190839695,0.4381679389312977,0.500763358778626
